"_id","_labels","Range","accountType","anonymous","ans1","ans2","ans3","ans4","answers","avatar","category","citizenship","city","comments","companySize","country","created","dbuid","description","details","email","end","gender","industry","internationalExperience","job","jobTitle","language","maritalStatus","name","numberOfChildren","politicInvolvement","politicTrend","profileName","religion","religionInvolvement","roleLevel","salaryRange","seniority","start","text","uid","updated","weblink","website","workExperience","year","_start","_end","_type","date","message","response","sender","since","updated"
"0",":PollCategory","","","","","","","","","","Politics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"1",":Poll","","","n","","","","","[""Yes"",""No""]","","","","","y","","","01/12/2020","","","a bit more about trump","","01/12/2021","","","","","","","","","","","","","","","","","","01/12/2020","will you vote Trump in 2025?","alphapoll","01/12/2020","www.trump2020.com","","","",,,,,,,,,
"2",":Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"3",":Profile","","","","","","","","","https://icons.iconarchive.com/icons/diversity-avatars/avatars/512/batman-icon.png","","","","","","","20/10/2020","","oui oui c est moi","","fwenglorz@gmail.com","","","","","","","","","","","","","fwenglorz","","","","","","","","alpha","20/10/2020","","www.fwen.com","","",,,,,,,,,
"4",":Poll","","","n","","","","","[""Jack"",""Jule"",""Jim"",""Dikenek""]","","","","","y","","","21/10/2020","","","a bit more info on pamela rose case","","21/10/2021","","","","","","","","","","","","","","","","","","21/10/2020","who killed pamela rose? ","betapoll","21/10/2020","www.quiatuepamelarose.fr","","","",,,,,,,,,
"5",":Profile","","","","","","","","","https://maxcdn.icons8.com/Share/icon/Cinema/avatar1600.png","","","","","","","20/11/2020","","oui oui c est toi","","makapuf@gmail.com","","","","","","","","","","","","","makapuf","","","","","","","","beta","20/11/2020","","www.google.fr","","",,,,,,,,,
"6",":AnswerOptions","","","","Jack","Jule","Jim","Dikenek","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"7",":Gender","","","","","","","","","","","","","","","","","","","","","","Female","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"8",":Profile","","","","","","","","","https://media.idownloadblog.com/wp-content/uploads/2013/12/CNN-2.0-for-iOS-app-icon-small.png","","","","","","","01/01/2020","","Politic Media","","","","","","","","","","","","","","","CNN","","","","","","","","gamma","","","www.cnn.com","","",,,,,,,,,
"9",":ProfileCategory","","","","","","","","","","Media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"10",":CorporateProfile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"11",":AnswerOptions","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"12",":Country","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","","","","","","","","","","","","","","","","","",,,,,,,,,
"13",":City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Paris","","","","","","","","","","","","","","","","","",,,,,,,,,
"14",":YearOfBirth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1982",,,,,,,,,
"15",":Gender","","","","","","","","","","","","","","","","","","","","","","Male","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"16",":JobCategory","","","","","","","","","","","","","","","","","","","","","","","","","Engineer","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"17",":City","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marseille","","","","","","","","","","","","","","","","","",,,,,,,,,
"18",":PollCategory","","","","","","","","","","Misc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"19",":Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Christian","","","","","","","","","","","","",,,,,,,,,
"20",":SalaryRange","200-250k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
"21",":Poll","","","true","","","","","","","","","","true","","","Tue Feb 09 2021 13:52:46 GMT+0800 (Singapore Standard Time)","","","asd","","2021-02-09T13:51:59.747+08:00","","","","","","","","","","","","","","","","","","2021-02-09T13:51:59.746+08:00","testfixcontent","08d5da40-6a9b-11eb-9188-d3864656d517","2021-02-09","qwerf","","","",,,,,,,,,
"22",":Poll","","","true","","","","","","","","","","true","","","Fri Feb 26 2021 21:05:14 GMT+0800 (Singapore Standard Time)","","","saefdbswertbsdfb","","2021-02-26T20:59:04.126+08:00","","","","","","","","","","","","","","","","","","2021-02-26T20:59:04.124+08:00","fbgqervevqaerfverf","441871d0-7833-11eb-b2ad-1f3137d4e718","2021-02-26","sdfggbsdfgbsdbsdfb","","","",,,,,,,,,
"23",":Poll","","","true","","","","","[""iletait un"",""petit navire""]","","","","","true","","","Mon Mar 15 2021 11:49:37 GMT+0800 (Singapore Standard Time)","","","qwefqwef","","2021-03-15T11:49:03.091+08:00","","","","","","","","","","","","","","","","","","2021-03-15T11:49:03.090+08:00","test revive app","7686db50-8541-11eb-824c-3902a1978be7","2021-03-15","qwefqwef","","","",,,,,,,,,
"24",":Poll","","","true","","","","","[""yes"",""no""]","","","","","true","","","Wed Mar 17 2021 22:21:15 GMT+0800 (Singapore Standard Time)","","","qwecqwec","","2021-03-17T22:20:47.258+08:00","","","","","","","","","","","","","","","","","","2021-03-17T22:20:47.257+08:00","testons l anonymat","083df100-872c-11eb-91a1-b7c68f3768cf","2021-03-17","wecqwecqwe","","","",,,,,,,,,
"25",":Poll","","","false","","","","","[""wefwef"",""wefwef""]","","","","","true","","","Wed Mar 17 2021 22:47:28 GMT+0800 (Singapore Standard Time)","","","qwwwef","","2021-03-17T22:46:12.529+08:00","","","","","","","","","","","","","","","","","","2021-03-17T22:46:12.528+08:00","fqwerfgqewrqewrgqergerg","b231c170-872f-11eb-91a1-b7c68f3768cf","2021-03-17","qwefwef","","","",,,,,,,,,
"26",":Religion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muslim","","","","","","","","","","","","",,,,,,,,,
"27",":Reported","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,,,,,
